  NAK      TPE
 DEPT  ARVL   EFF     DSC    FREQ   CC  TRAIN EQP ORG  DST DD INH PRI
 940A  958A 17FEB21 17FEB21 ---W--- AM   1213  H  NAK  BAC  0  N   N
 940A  958A 20FEB21 10APR21 ------S AM   1213  H  NAK  BAC  0  N   N
1000A 1018A 14JAN21 10APR21    @    AM    817  H  NAK  BAC  0  N   N
1010A 1028A 14JAN21 10APR21    @    AM    625  H  NAK  BAC  0  N   N
1020A 1038A 14JAN21 10APR21    @    AM    121  H  NAK  BAC  0  N   N
1025A 1045A 14JAN21 01JAN21 -----F- AM   1517  H  NAK  BAC  0  N   N
1025A 1045A 09FEB21 14FEB21 S-TWTFS AM   1517  H  NAK  BAC  0  N   N
1035A 1054A 14JAN21 10APR21    @    AM    627  H  NAK  BAC  0  N   N
1040A 1058A 14JAN21 06FEB21 ------S AM   1217  H  NAK  BAC  0  N   N
1040A 1058A 14JAN21 01JAN21 ----TF- AM   1217  H  NAK  BAC  0  N   N
1040A 1058A 08FEB21 15FEB21    @    AM   1217  H  NAK  BAC  0  N   N
1040A 1058A 20FEB21 10APR21 ------S AM   1217  H  NAK  BAC  0  N   N
1100A 1118A 14JAN21 10APR21    @    AM    821  H  NAK  BAC  0  N   N
1110A 1128A 14JAN21 06FEB21 ------S AM   1631  H  NAK  BAC  0  N   N
1110A 1128A 14JAN21 03JAN21 S---TF- AM   1631  H  NAK  BAC  0  N   N
1110A 1128A 08FEB21 16FEB21    @    AM   1631  H  NAK  BAC  0  N   N
1110A 1128A 20FEB21 10APR21 ------S AM   1631  H  NAK  BAC  0  N   N
1120A 1138A 14JAN21 10APR21    @    AM    125  H  NAK  BAC  0  N   N
1125A 1145A 14JAN21 01JAN21 -----F- AM   1521  H  NAK  BAC  0  N   N
1125A 1145A 09FEB21 14FEB21 S-TWTFS AM   1521  H  NAK  BAC  0  N   N
1135A 1154A 14JAN21 10APR21    @    AM    633  H  NAK  BAC  0  N   N
1140A 1158A 14JAN21 01JAN21 -----F- AM   1221  H  NAK  BAC  0  N   N
1140A 1158A 09FEB21 14FEB21 S-TWTFS AM   1221  H  NAK  BAC  0  N   N
1200N 1218P 14JAN21 10APR21    @    AM    825  H  NAK  BAC  0  N   N
1210P 1228P 14JAN21 05FEB21 -----F- AM   1637  H  NAK  BAC  0  N   N
1210P 1228P 14JAN21 03JAN21 S---T-- AM   1637  H  NAK  BAC  0  N   N
1210P 1228P 08FEB21 16FEB21    @    AM   1637  H  NAK  BAC  0  N   N
1210P 1228P 19FEB21 09APR21 -----F- AM   1637  H  NAK  BAC  0  N   N
1220P 1238P 14JAN21 10APR21    @    AM    129  H  NAK  BAC  0  N   N
1225P 1245P 09FEB21 14FEB21 S-TWTFS AM   1525  H  NAK  BAC  0  N   N
